Slit_separation_fs,Delay_fs,Reflectivity,Series
-1450.0,223475.099681793,0.00168485774387446,model
-1450.0,223594.389786381,0.0014548004516366,model
-1450.0,223713.679890968,0.00183302838638389,model
-1450.0,223832.96999555602,0.00252240204960675,model
-1450.0,223952.26010014402,0.0028572368173271,model
-1450.0,224071.550204731,0.00252426518051896,model
-1450.0,224190.840309319,0.00194448349912723,model
-1450.0,224310.130413906,0.00185733507376056,model
-1450.0,224429.420518494,0.002511601300607,model
-1450.0,224548.710623082,0.00334294714398979,model
-1450.0,224668.000727669,0.00354453577685593,model
-1450.0,224787.290832257,0.00296279279271293,model
-1450.0,224906.580936844,0.00233062685690411,model
-1450.0,225025.871041432,0.00251411136218545,model
-1450.0,225145.16114602,0.00353661019113728,model
-1450.0,225264.451250607,0.00447307898445965,model
-1450.0,225383.741355195,0.00441863804483376,model
-1450.0,225503.031459782,0.00353098288139891,model
-1450.0,225622.32156437,0.00295811233153019,model
-1450.0,225741.611668958,0.00361768372688763,model
-1450.0,225860.90177354502,0.00511225058411346,model
-1450.0,225980.191878133,0.00604742682421003,model
-1450.0,226099.48198272003,0.00554494440773068,model
-1450.0,226218.772087308,0.00432876314693918,model
-1450.0,226338.062191896,0.00406881358911814,model
-1450.0,226457.352296483,0.00553399015301055,model
-1450.0,226576.642401071,0.00757434494998359,model
-1450.0,226695.93250565798,0.00824122564189398,model
-1450.0,226815.222610246,0.00700525151961189,model
-1450.0,226934.512714834,0.00558624800973545,model
-1450.0,227053.802819421,0.0061990437061783,model
-1450.0,227173.09292400902,0.00894753544782623,model
-1450.0,227292.383028596,0.0113895291012945,model
-1450.0,227411.673133184,0.0111497239732444,model
-1450.0,227530.96323777203,0.00886604956612378,model
-1450.0,227650.253342359,0.00787735378413383,model
-1450.0,227769.543446947,0.0104870926777848,model
-1450.0,227888.83355153401,0.0149023831605267,model
-1450.0,228008.12365612198,0.016831427490748,model
-1450.0,228127.41376071,0.0144076284128458,model
-1450.0,228246.703865297,0.0105600215869798,model
-1450.0,228365.993969885,0.00962291016782405,model
-1450.0,228485.284074472,0.0132518132753221,model
-1450.0,228604.57417906003,0.0242853579780233,model
-1450.0,228723.864283648,0.0592900320389984,model
-1450.0,228843.154388235,0.16036758882542,model
-1450.0,228962.444492823,0.402708673023026,model
-1450.0,229081.73459741002,0.917599396170773,model
-1450.0,229201.02470199802,1.95734789384874,model
-1450.0,229320.31480658602,3.98191232609752,model
-1450.0,229439.60491117302,7.6654930206484,model
-1450.0,229558.895015761,13.6947241902364,model
-1450.0,229678.185120348,22.3428060042764,model
-1450.0,229797.475224936,33.0098663055186,model
-1450.0,229916.765329524,44.051478092247,model
-1450.0,230036.05543411098,53.1183056070832,model
-1450.0,230155.345538699,57.9437302665906,model
-1450.0,230274.635643286,57.2248951861073,model
-1450.0,230393.925747874,51.1599217378168,model
-1450.0,230513.215852461,41.3642765595806,model
-1450.0,230632.505957049,30.2125049128899,model
-1450.0,230751.796061637,19.9374955845676,model
-1450.0,230871.086166224,11.9318766782098,model
-1450.0,230990.376270812,6.54276372019145,model
-1450.0,231109.6663754,3.34613439268299,model
-1450.0,231228.956479987,1.62558835044571,model
-1450.0,231348.24658457498,0.751676172895485,model
-1450.0,231467.53668916202,0.322712895718915,model
-1450.0,231586.82679375002,0.125289913578899,model
-1450.0,231706.116898338,0.0464366274086951,model
-1450.0,231825.407002925,0.0202760231353923,model
-1450.0,231944.697107513,0.0118764155218244,model
-1450.0,232063.9872121,0.00944471159111215,model
-1450.0,232183.277316688,0.0113933705607982,model
-1450.0,232302.567421275,0.0153335138959982,model
-1450.0,232421.85752586302,0.0167672838379362,model
