freq_THz,vg_m_per_s,lambda_geom_inv_s
220.85,105664779.00468712,175719591860.20987
220.9,105048517.21078995,176750441926.23563
220.95,104435874.45603888,177787297108.5106
221.0,103826853.75688161,178830150089.87744
221.05,103221458.0951882,179878992055.90118
221.1,102619690.41570693,180933812658.0528
221.15,102021553.62399524,181994599975.74365
221.2,101427050.58413017,183061340478.4152
221.25,100836184.11616634,184134018987.79428
221.3,100248956.99401827,185212618639.12247
221.35,99665371.94264795,186297120843.41003
221.4,99085431.63574728,187387505248.595
221.45,98509138.6933794,188483749700.58255
221.5,97936495.67902009,189585830205.28055
221.55,97367505.09720841,190693720889.38565
221.6,96802169.39088476,191807393961.68185
221.65,96240490.93851516,192926819674.73514
221.7,95682472.05147828,194051966286.08667
221.75,95128114.97123213,195182800019.92984
221.8,94577421.86657701,196319285028.68686
221.85,94030394.83066908,197461383355.23544
221.9,93487035.87814711,198609054895.09778
221.95,92947346.9421655,199762257359.06207
222.0,92411329.87158868,200920946235.74207
222.05,91878986.42773421,202085074755.44183
222.1,91350318.28144513,203254593853.71683
222.15,90825327.00998217,204429452135.77094
222.2,90304014.09391275,205609595841.37125
222.25,89786380.91396832,206794968810.40134
222.3,89272428.74773431,207985512449.43164
222.35,88762158.76658837,209181165698.41672
222.4,88255572.03240508,210381864998.68195
222.45,87752669.49426521,211587544261.73102
222.5,87253451.98511659,212798134839.06696
222.55,86757920.21846867,214013565492.89835
222.6,86266074.78507856,215233762367.89777
222.65,85777916.14953715,216458648964.3125
222.7,85293444.64692698,217688146112.08054
222.75,84812660.47925867,218922171946.76532
222.8,84335563.71224543,220160641885.96786
222.85,83862154.27175178,221403468607.97433
222.9,83392431.94029911,222650562031.76004
222.95,82926396.35365541,223901829298.34308
223.0,82464046.99733095,225157174754.03372
223.05,82005383.20315805,226416499935.1879
223.1,81550404.14576556,227679703555.0558
223.15,81099108.83904885,228946681492.54422
223.2,80651496.13266915,230217326782.88022
223.25,80207564.7087569,231491529609.74698
223.3,79767313.07824679,232769177300.59998
223.35,79330739.57748239,234050154323.44644
223.4,78897842.36471121,235334342286.24176
223.45,78468619.41680132,236621619938.0123
223.5,78043068.52567087,237911863173.28732
223.55,77621187.29489228,239204945038.56534
223.6,77202973.13654065,240500735740.64
223.65,76788423.2675746,241799102659.05054
223.7,76377534.7066554,243099910359.96304
223.75,75970304.27091497,244403020613.03397
223.8,75566728.57267942,245708292411.32172
223.85,75166804.01625322,247015581993.98895
223.9,74770526.79480451,248324742871.72018
223.95,74377892.88723564,249635625855.29138
224.0,73988898.05518864,250948079086.8572
224.05,73603537.8400972,252261948074.29346
224.1,73221807.56010967,253577075729.25537
224.15,72843702.30736262,254893302407.36835
224.2,72469216.94511116,256210465952.26758
224.25,72098346.10507597,257528401742.29306
224.3,71731084.1847458,258846942740.779
224.35,71367425.34481438,260165919549.34546
224.4,71007363.50671747,261485160464.3281
224.45,70650892.35020341,262804491536.60883
224.5,70298005.31107901,264123736634.3404
224.55,69948695.57894674,265442717509.25015
