separation_fs,V_standard,V_enz_1500nm
4.055276381909547467e+02,6.666249812481163106e-01,1.999681251998347842e-01
4.150753768844220986e+02,6.602905081878370774e-01,1.925318581641428106e-01
4.246231155778893935e+02,6.540162272146835543e-01,1.853721255379767174e-01
4.341708542713567454e+02,6.478015663651602862e-01,1.784786437638357370e-01
4.437185929648240972e+02,6.416459591107428473e-01,1.718415117015648086e-01
4.532663316582914490e+02,6.355488443062329296e-01,1.654511964073007713e-01
4.628140703517587440e+02,6.295096661386044845e-01,1.592985194412599170e-01
4.723618090452260958e+02,6.235278740763352534e-01,1.533746436847023276e-01
4.819095477386934476e+02,6.176029228192211340e-01,1.476710606471368370e-01
4.914572864321607426e+02,6.117342722486659445e-01,1.421795782455361756e-01
5.010050251256280944e+02,6.059213873784448090e-01,1.368923090380098073e-01
5.105527638190954463e+02,6.001637383059339470e-01,1.318016588950341739e-01
5.201005025125627981e+02,5.944608001638056471e-01,1.269003160919688900e-01
5.296482412060300931e+02,5.888120530721810963e-01,1.221812408071926287e-01
5.391959798994973880e+02,5.832169820912375124e-01,1.176376550107738755e-01
5.487437185929647967e+02,5.776750771742670265e-01,1.132630327291551525e-01
5.582914572864320917e+02,5.721858331211805426e-01,1.090510906718666628e-01
5.678391959798993867e+02,5.667487495324535773e-01,1.049957792068065970e-01
5.773869346733667953e+02,5.613633307635100822e-01,1.010912736711262888e-01
5.869346733668342040e+02,5.560290858795389202e-01,9.733196600523964792e-02
5.964824120603013853e+02,5.507455286107413306e-01,9.371245669794109334e-02
6.060301507537687939e+02,5.455121773080011671e-01,9.022754703106192209e-02
6.155778894472360889e+02,5.403285548989789078e-01,8.687223161252748127e-02
6.251256281407034976e+02,5.351941888446211104e-01,8.364169118708889017e-02
6.346733668341707926e+02,5.301086110960843145e-01,8.053128571440416883e-02
6.442211055276380876e+02,5.250713580520668389e-01,7.753654770452654554e-02
6.537688442211054962e+02,5.200819705165476980e-01,7.465317580122780849e-02
