separation_fs,freq_THz,I_standard,I_coherence,I_amplitude
4.000000000000000000e+02,2.363333333334059319e+02,2.293082652367727111e-04,1.370398418720385940e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.365000000000726459e+02,1.693683421469069566e-06,1.128199511698484234e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.366666666667393883e+02,2.823310901544325078e-04,1.288777475643639557e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.368333333334061024e+02,9.472312385587834975e-04,1.754583064791747152e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.370000000000728164e+02,1.824653401767272745e-03,2.390752359325840244e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.371666666667395305e+02,2.727183809589869747e-03,3.050206449888557582e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.373333333334062445e+02,3.483159895248222771e-03,3.598240547771586282e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.375000000000729585e+02,3.962605952729983567e-03,3.932818239490880503e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.376666666667397010e+02,4.094132630263048675e-03,3.997793891006438255e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.378333333334064150e+02,3.870968641215724419e-03,3.787629372654102277e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.380000000000731291e+02,3.346142964765820484e-03,3.343619266751525747e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.381666666667398431e+02,2.618527158904057715e-03,2.742962609570821168e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.383333333334065571e+02,1.812734203924502808e-03,2.083026448300467903e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.385000000000732427e+02,1.056586766151268062e-03,1.463707311094136852e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.386666666667399568e+02,4.599477842680370614e-04,9.708593297321311622e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.388333333334066992e+02,9.818632850877405524e-05,6.633507855098697654e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.390000000000734133e+02,2.558080037137080446e-06,5.655331393908794892e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.391666666667401273e+02,1.585029914166523411e-04,6.659072412868865002e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.393333333334068413e+02,5.115235418538025512e-04,9.217232344523384547e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.395000000000735554e+02,9.791204238505529529e-04,1.268321911619925586e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.396666666667402694e+02,1.466404553686968598e-03,1.631353748596283369e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.398333333334070119e+02,1.882587353975297660e-03,1.939685491425393021e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.400000000000737259e+02,2.155610642926830776e-03,2.136850659157756623e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.401666666667404400e+02,2.242670987241785277e-03,2.189286618963016615e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.403333333334071540e+02,2.135212973610575021e-03,2.090242412508929760e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.405000000000738680e+02,1.857958859928458568e-03,1.859018765305591511e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.406666666667405821e+02,1.462538162339820395e-03,1.535981381001471757e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.408333333334073245e+02,1.017120036814841370e-03,1.174445567266058435e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.410000000000740386e+02,5.940091191040556629e-04,8.309668491401203455e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.411666666667407526e+02,2.573699497788324271e-04,5.557322648211710393e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.413333333334074666e+02,5.308549045389187931e-05,3.846221003954911196e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.415000000000741807e+02,2.279935121888337029e-06,3.341397894661119025e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.416666666667408947e+02,9.934130922510537036e-05,3.998639358502785414e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.418333333334076372e+02,3.144911051334476509e-04,5.584594392817795452e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.420000000000743512e+02,6.001999486498009028e-04,7.726990268773773407e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.421666666667410652e+02,9.001592568092201419e-04,9.984854412166991548e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.423333333334077793e+02,1.159175558218202701e-03,1.192595835075618534e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.425000000000744933e+02,1.332298299050688715e-03,1.319826209326292916e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.426666666667412073e+02,1.391716182067444111e-03,1.358389236756491793e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.428333333334079498e+02,1.330408865545957327e-03,1.302772434089825501e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.430000000000746638e+02,1.162133518982226858e-03,1.163727542547758056e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.431666666667413779e+02,9.179544185094355626e-04,9.655540660618683020e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.433333333334080919e+02,6.400834258856443002e-04,7.412779772292769215e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.435000000000748059e+02,3.742017414653175879e-04,5.266416846682859349e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.436666666667415200e+02,1.616210865630032150e-04,3.539683239693521824e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.438333333334082624e+02,3.259603058172567345e-05,2.469270847120502840e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.440000000000749765e+02,1.838542753887051050e-06,2.170222800110847773e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.441666666667416905e+02,6.686515611628019958e-05,2.622995785749645398e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.443333333334083761e+02,2.093040406586153097e-04,3.683690374008231710e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.445000000000750902e+02,3.987910470276104409e-04,5.114545915926899285e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.446666666667418042e+02,5.986724470395524741e-04,6.628576953313100942e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.448333333334085182e+02,7.724712777850491381e-04,7.940186580068887357e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.450000000000752607e+02,8.899995235144214168e-04,8.813007714127236384e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.451666666667419747e+02,9.321129932914560537e-04,9.097120428982416202e-04,0.000000000000000000e+00
6.000000000000000000e+02,2.153333333333994801e+02,6.589484515564723562e-04,6.262709702046172265e-04,0.000000000000000000e+00
6.000000000000000000e+02,2.155000000000661942e+02,5.010055763652199873e-04,5.273484929510400881e-04,0.000000000000000000e+00
6.000000000000000000e+02,2.156666666667329082e+02,2.818481673525436771e-04,3.883568026079670869e-04,0.000000000000000000e+00
6.000000000000000000e+02,2.158333333333996222e+02,8.800065993700651530e-05,2.661826899381068701e-04,0.000000000000000000e+00
6.000000000000000000e+02,2.160000000000663363e+02,7.194776467900066313e-07,2.142503742985148749e-04,0.000000000000000000e+00
6.000000000000000000e+02,2.161666666667330503e+02,6.389057856333213068e-05,2.614182703232558283e-04,0.000000000000000000e+00
6.000000000000000000e+02,2.163333333333997928e+02,2.648557819076605103e-04,3.993747809372959244e-04,0.000000000000000000e+00
6.000000000000000000e+02,2.165000000000665068e+02,5.363482159041058680e-04,5.839106475979789160e-04,0.000000000000000000e+00
6.000000000000000000e+02,2.166666666667332208e+02,7.799107185230525581e-04,7.503136046642756374e-04,0.000000000000000000e+00
6.000000000000000000e+02,2.168333333333999349e+02,9.028023320387256910e-04,8.376297384328623826e-04,0.000000000000000000e+00
