t_fs,lambda_t,tau_ent_t
2.639199999999999818e+03,4.750000000000000000e+15,2.678620000001101653e+04
2.639399999999999636e+03,4.750000000000000000e+15,2.678715000001101726e+04
2.639599999999999909e+03,4.750000000000000000e+15,2.678810000001101798e+04
2.639800000000000182e+03,4.750000000000000000e+15,2.678905000001101871e+04
2.640000000000000000e+03,4.750000000000000000e+15,2.679000000001101944e+04
2.640199999999999818e+03,4.750000000000000000e+15,2.679095000001102017e+04
2.640400000000000091e+03,4.750000000000000000e+15,2.679190000001102089e+04
2.640599999999999909e+03,4.750000000000000000e+15,2.679285000001102162e+04
2.640799999999999727e+03,4.750000000000000000e+15,2.679380000001102235e+04
2.640999999999999545e+03,4.750000000000000000e+15,2.679475000001102308e+04
2.641200000000000273e+03,4.750000000000000000e+15,2.679570000001102380e+04
2.641400000000000091e+03,4.750000000000000000e+15,2.679665000001102453e+04
2.641599999999999909e+03,4.750000000000000000e+15,2.679760000001102526e+04
2.641799999999999727e+03,4.750000000000000000e+15,2.679855000001102599e+04
2.642000000000000000e+03,4.750000000000000000e+15,2.679950000001102671e+04
2.642199999999999818e+03,4.750000000000000000e+15,2.680045000001102744e+04
2.642400000000000091e+03,4.750000000000000000e+15,2.680140000001102817e+04
2.642599999999999909e+03,4.750000000000000000e+15,2.680235000001102890e+04
2.642800000000000182e+03,4.750000000000000000e+15,2.680330000001102962e+04
2.643000000000000000e+03,4.750000000000000000e+15,2.680425000001103035e+04
2.643199999999999818e+03,4.750000000000000000e+15,2.680520000001103108e+04
2.643399999999999636e+03,4.750000000000000000e+15,2.680615000001103181e+04
2.643599999999999909e+03,4.750000000000000000e+15,2.680710000001103253e+04
2.643800000000000182e+03,4.750000000000000000e+15,2.680805000001103326e+04
2.644000000000000000e+03,4.750000000000000000e+15,2.680900000001103399e+04
2.644199999999999818e+03,4.750000000000000000e+15,2.680995000001103472e+04
2.644400000000000091e+03,4.750000000000000000e+15,2.681090000001103544e+04
2.644599999999999909e+03,4.750000000000000000e+15,2.681185000001103617e+04
2.644799999999999727e+03,4.750000000000000000e+15,2.681280000001103690e+04
2.645000000000000000e+03,4.750000000000000000e+15,2.681375000001103763e+04
2.645200000000000273e+03,4.750000000000000000e+15,2.681470000001103836e+04
2.645400000000000091e+03,4.750000000000000000e+15,2.681565000001103908e+04
2.645599999999999909e+03,4.750000000000000000e+15,2.681660000001103981e+04
