wavelength_nm,v_g_over_c,enhancement,V_standard,V_enz
1.085170340681362632e+03,7.140351054558221611e-01,1.400491365703406155e+00,4.493289641172215632e-01,3.261515616677674312e-01
1.087374749498997971e+03,7.126378586976079843e-01,1.403237265316727544e+00,4.493289641172215632e-01,3.254358844690068975e-01
1.089579158316633311e+03,7.112350231629318564e-01,1.406005001768475982e+00,4.493289641172215632e-01,3.247161050188818732e-01
1.091783567134268651e+03,7.098265657163727038e-01,1.408794835666340228e+00,4.493289641172215632e-01,3.239921899629144564e-01
1.093987975951903763e+03,7.084124528256711129e-01,1.411607032049285504e+00,4.493289641172215632e-01,3.232641055447826317e-01
1.096192384769539103e+03,7.069926505551005214e-01,1.414441860484465519e+00,4.493289641172215632e-01,3.225318176001394366e-01
1.098396793587174443e+03,7.055671245586976337e-01,1.417299595166735759e+00,4.493289641172215632e-01,3.217952915503181632e-01
1.100601202404809555e+03,7.041358400733418454e-01,1.420180515020853518e+00,4.493289641172215632e-01,3.210544923959190444e-01
1.102805611222444895e+03,7.026987619116830119e-01,1.423084903806451473e+00,4.493289641172215632e-01,3.203093847102749803e-01
1.105010020040080235e+03,7.012558544549151174e-01,1.426013050225866774e+00,4.493289641172215632e-01,3.195599326327973611e-01
1.107214428857715347e+03,6.998070816453871856e-01,1.428965248034928193e+00,4.493289641172215632e-01,3.188060998621933817e-01
1.109418837675350687e+03,6.983524069790505440e-01,1.431941796156791069e+00,4.493289641172215632e-01,3.180478496495572904e-01
1.111623246492986027e+03,6.968917934977372219e-01,1.434942998798918845e+00,4.493289641172215632e-01,3.172851447913302425e-01
1.113827655310621140e+03,6.954252037812636011e-01,1.437969165573320440e+00,4.493289641172215632e-01,3.165179476221270938e-01
1.116032064128256479e+03,6.939525999393548750e-01,1.441020611620146497e+00,4.493289641172215632e-01,3.157462200074248604e-01
1.118236472945891819e+03,6.924739436033879869e-01,1.444097657734752849e+00,4.493289641172215632e-01,3.149699233361145656e-01
1.120440881763527159e+03,6.909891959179432774e-01,1.447200630498356677e+00,4.493289641172215632e-01,3.141890185129080915e-01
1.122645290581162271e+03,6.894983175321625080e-01,1.450329862412396364e+00,4.493289641172215632e-01,3.134034659506009235e-01
1.124849699398797611e+03,6.880012685909082659e-01,1.453485692036723620e+00,4.493289641172215632e-01,3.126132255621856815e-01
