t_s,tau_ent_s,lambda_s_inv,norm2
3.874999999999989e-13,0.3875000000000003,1000000000000.0,0.4607035950376748
3.899999999999989e-13,0.3900000000000003,1000000000000.0,0.4584058250776521
3.924999999999989e-13,0.3925000000000003,1000000000000.0,0.4561195152990692
3.9499999999999887e-13,0.3950000000000003,1000000000000.0,0.45384460854400344
3.9749999999999886e-13,0.3975000000000003,1000000000000.0,0.45158104793960774
3.9999999999999885e-13,0.4000000000000003,1000000000000.0,0.44932877689669054
4.0249999999999884e-13,0.4025000000000003,1000000000000.0,0.4470877391082996
4.0499999999999883e-13,0.4050000000000003,1000000000000.0,0.4448578785483152
4.074999999999988e-13,0.4075000000000003,1000000000000.0,0.4426391394700491
4.099999999999988e-13,0.4100000000000003,1000000000000.0,0.44043146640485104
4.124999999999988e-13,0.4125000000000003,1000000000000.0,0.4382348041607218
4.149999999999988e-13,0.4150000000000003,1000000000000.0,0.4360490978209339
4.174999999999988e-13,0.4175000000000003,1000000000000.0,0.43387429274265776
4.1999999999999877e-13,0.4200000000000003,1000000000000.0,0.4317103345555968
4.2249999999999876e-13,0.4225000000000003,1000000000000.0,0.42955716916062725
4.2499999999999874e-13,0.4250000000000003,1000000000000.0,0.42741474272844576
4.2749999999999873e-13,0.4275000000000003,1000000000000.0,0.42528300169822447
4.299999999999987e-13,0.4300000000000003,1000000000000.0,0.42316189277627086
4.324999999999987e-13,0.43250000000000033,1000000000000.0,0.4210513629346964
4.349999999999987e-13,0.43500000000000033,1000000000000.0,0.4189513594100899
4.374999999999987e-13,0.43750000000000033,1000000000000.0,0.41686182970219926
4.399999999999987e-13,0.44000000000000034,1000000000000.0,0.4147827215726187
4.4249999999999867e-13,0.44250000000000034,1000000000000.0,0.4127139830434824
4.4499999999999866e-13,0.44500000000000034,1000000000000.0,0.4106555623961656
4.4749999999999865e-13,0.44750000000000034,1000000000000.0,0.408607408169991
4.4999999999999864e-13,0.45000000000000034,1000000000000.0,0.4065694691609435
4.5249999999999863e-13,0.45250000000000035,1000000000000.0,0.40454169442038823
4.549999999999987e-13,0.45500000000000035,1000000000000.0,0.4025240332537982
4.574999999999987e-13,0.45750000000000035,1000000000000.0,0.40051643521948704
4.599999999999987e-13,0.46000000000000035,1000000000000.0,0.39851885012734656
4.624999999999988e-13,0.46250000000000036,1000000000000.0,0.3965312280375938
4.649999999999988e-13,0.46500000000000036,1000000000000.0,0.3945535192595209
4.674999999999989e-13,0.46750000000000036,1000000000000.0,0.3925856743502542
