series,delay_fs,reflectivity
actual,-1399.99999999872,0.185730027881868
actual,-1466.66666666533,0.115489338337706
actual,-1533.33333333193,0.101642650184515
actual,-1599.99999999854,0.0983456573563598
actual,-1666.66666666515,0.0960968168100941
actual,-1733.33333333175,0.0949753790841048
actual,-1799.99999999836,0.095246364796008
actual,-1866.66666666496,0.0947376274689445
actual,-1933.33333333157,0.0949753790841048
actual,-1999.99999999818,0.0945237362309328
actual,-2066.66666666478,0.0944691982260215
actual,-2133.33333333139,0.0943030277423073
actual,-2199.99999999799,0.0941999168267718
actual,-2266.6666666646,0.0941223706010385
actual,-2333.33333333121,0.0940252247797902
actual,-2399.99999999781,0.0947802352852814
actual,-2466.66666666442,0.0944163645337636
actual,-2533.33333333102,0.094019259685503
actual,-2599.99999999763,0.0944564158811204
actual,-2666.66666666424,0.094182873700237
actual,-2733.33333333084,0.0942945061790399
actual,-2799.99999999745,0.0950307692453429
actual,-2866.66666666405,0.0943345575263967
actual,-2933.33333333066,0.0944760154766354
actual,-2999.99999999727,0.0941291878516524
actual,-3066.66666666387,0.0941871344818707
actual,-3133.33333333048,0.0941598654794151
actual,-3199.99999999708,0.0940635718144935
actual,-3266.66666666369,0.0945365185758339
actual,-3333.3333333303,0.0938914362364921
actual,-3399.9999999969,0.0939331918965023
modelled,-10000.0,0.0938496767836933
modelled,-9979.97997997998,0.0938496767836933
modelled,-9959.95995995996,0.0938496767836933
modelled,-9939.93993993994,0.0938496767836933
modelled,-9919.91991991992,0.0938496767836933
modelled,-9899.8998998999,0.0938496767836933
modelled,-9879.87987987988,0.0938496767836933
modelled,-9859.85985985986,0.0938496767836933
modelled,-9839.83983983984,0.0938496767836933
modelled,-9819.81981981982,0.0938496767836933
modelled,-9799.79979979979,0.0938496767836933
modelled,-9779.77977977978,0.0938496767836933
modelled,-9759.75975975976,0.0938496767836933
modelled,-9739.73973973974,0.0938496767836933
modelled,-9719.71971971972,0.0938496767836933
modelled,-9699.6996996997,0.0938496767836933
modelled,-9679.67967967968,0.0938496767836933
modelled,-9659.65965965966,0.0938496767836933
modelled,-9639.63963963964,0.0938496767836933
modelled,-9619.61961961962,0.0938496767836933
modelled,-9599.5995995996,0.0938496767836933
modelled,-9579.57957957958,0.0938496767836933
modelled,-9559.55955955956,0.0938496767836933
modelled,-9539.53953953953,0.0938496767836933
modelled,-9519.51951951952,0.0938496767836933
modelled,-9499.4994994995,0.0938496767836933
modelled,-9479.47947947948,0.0938496767836933
modelled,-9459.45945945946,0.0938496767836933
modelled,-9439.43943943944,0.0938496767836933
modelled,-9419.41941941941,0.0938496767836933
modelled,-9399.39939939939,0.0938496767836933
modelled,-9379.37937937938,0.0938496767836933
modelled,-9359.35935935936,0.0938496767836933
modelled,-9339.33933933934,0.0938496767836933
modelled,-9319.31931931932,0.0938496767836933
modelled,-9299.2992992993,0.0938496767836933
modelled,-9279.27927927927,0.0938496767836933
modelled,-9259.25925925926,0.0938496767836933
modelled,-9239.23923923924,0.0938496767836933
modelled,-9219.21921921922,0.0938496767836933
modelled,-9199.1991991992,0.0938496767836933
modelled,-9179.17917917917,0.0938496767836933
modelled,-9159.15915915915,0.0938496767836933
